taxnumberprovider,feature_vector,Cluster
77.577.609-9,"24 timbre fechero shiny  s-827d, equivalente 21 se adjunta ficha tecnica con los productos ofrecidos. plazo de entrega 3 dias  10 se adjunta imagen ilustrativa. los repuestos son originales de la marca shiny. plazo de entrega 3 dias. 24 timbre sello  automatik 913 o equivalente. 22 se adjunta imagenes de los modelos. plazo de entrega 3 dias 24 se adjunta anexo tecnico que indica los productos ofrecidos y el plazo de entrega. 44 segun detalle descrito 10 timbres marca automatic modelo 915 y 912. plazo de entrega 2 dias habiles 24 timbre shiny s-827  o equivalente 24 timbre shiny s -532 redondo o equivalente",10
77.539.459-5,"10 guantes anti corte, talla ""l"". de buena calidad, debe senalar marca y modelo en su oferta, al igual que el plazo de entrega. 38 guantes cabritilla|material: cuero natural sin forro|color blanco|talla unica 24 se cotiza chaleco reflectante amarillo fluor, tenemos stock para entrega inmediata. 40 se cotiza segun lo solicitado, tenemos stock para envio de inmediato. se adjuntan fichas tecnica de lo ofrecido, dudas o consultas al correo: ventas@rmindustrial.cl o al celular: +56931089517 erik nacarate 40 escobillon municipal 30 cm 38 capas antilluvia (pvc).|que posean gorro incorporado con ajuste, costuras electronicamente selladas para mejor impermeabilidad, talla estandar, de acuerdo a ficha tecnica e imagen de referencia, adjuntas.  34 pantalon tipo cargo ( color cafe)| 23 10 chalecos reflectantes color amarillo 4 cinta certificados se adjunta imagen de referencia, enviar cotizacion formal para evaluacion. 40 caja de mascarillas desechables de 50 unidades 26 contacto sofia cornejo|968410903||pago 30 dias|entrega 2 dias habiles",24
77.497.601-9,"15 se cotiza lo solicitado, pack cucharitas 100 unidades, pack de plato 20 unidades|contacto sumab.spa@gmail.com|+56973379712 49 tarro nescafe 170 gramos 49 galleta alteza  oblea 22 se cotiza lo solicitado, stock disponible,  entrega inmediata|contacto sumab.spa@gmail.com|+56973379712 49 platos plasticos desechables grandes  24 brownie  de 62 grs c/u 15 agua mineral con gas 1.6 lts. 24 jugos individuales, sin azucar tipo vivo , 200 cc c/u 49 se cotiza lo solicitado.|stock disponible, entrega inmediata. |contacto +56973379712|sumab.spa@gmail.com 17 se adjunta cotizacion detallada. ",19
77.539.417-K,10 3x panuelos desechables suaves elite o similares 46 presupuesto segun cotizacion. despacho gratis en 10 dias una vez recibida la odc. contacto leonardo acuna montealegre 942083334 41 100 espirales para anilladora de 10 mm 41 plastificadora  46 plumon para pizarra acrilica color azul 10 caja organizadoras o baul de 100 litros con rueditas de buena calidad 10 toner hp laserjet p1102 w  46 pad para teclado gel 41 toner original 411 cl negro  46 clips 33 mm,20
77.512.285-4,"25 adquisicion de podiums acrilicos, segun detalle adjunto. 58 podium madera - altura regulable|fabricado en madera de rauli|pedestal en tubo de fierro 2 pulgadas de diametro|base conica triangular de 5 mm. pintura electrostatica negro mate|patines de regulacion en la base, en caso de desnivel de piso|altura regulable en 5 niveles|porta vasos en la cubierta|conexion de audio xlr, integrada en la base y la cubierta|medidas:|alto: 20 cm|ancho : 50 cm.|fondo : 45 cm|(se adjunta bases tecnicas) 43 podium de madera con logo de la escuela. 1.20 de altura. (se revisaran modelos previo a la generacion de oc) 36 adquisicion de 1 podium madera altura regulable. segun anexos 40 podium acrilico con sujeta papeles, segun imagen adjunta. (con logo municipalidad de mariquina).- 58 microfono cuello de ganso, para podium. |(se adjunta bases tecnicas)  43 base para mastil de bandera (hormigon) 34 podium fabricado de madera de rauli, color rauli brillantes, vitrificado, barras laterales de acero inoxidable, conexion de audio xlr integrada en la base y cubierta, repisa porta vasos.|medidas: alto 120cm,  ancho 75cm,  fondo 55cm.|logo corporativo bronce 28cm.|                 58 placa sobre relieve pintura al horno 17cm, para podium.|(se adjunta bases tecnicas)  36 podium y bandera, despacho 4 dias |incluye logo",21
77.505.989-3,"37 2 de oro 2 de plata y 2 de bronce  con grabado laser personalizados, logo municipal, envio incluido a puerto cisnes con disponibilidad inmediata. 14 caja  pelota ping pong x 6 unidades 14 obs: implementos deportivos calidad garantizada|contamos con stock en nuestras bodegas para plazo entrega un dia. proveedor regional 47 llaveros con argollas 14 balon baby ndeg 3 prime 14 juego de naipes 37 6 trofeos y 72 medallas segun detalle adjunto 24 balones de basquetbol ndeg7 marca molten bg4000 24 balones de futbol mitre ndeg3 47 galvanos para conmemoracion dia de la mujer",19
77.594.027-1,"12 gabinetes metalicos puerta malla para extintores de 6 kilos pqs para sala (cuna las estrellitas 3), (girasoles 3), (manitos de angel 3) 10 calzado de seguridad  27 contenedores de reciclaje de 120 litros de color azul, con ruedas y tapa segun la imagen referencial.  sin logo 25 se adjunta cotizacion formal y ficha tecnica de producto ofertado, entrega en obra sobre camion en 7 dias habiles.|despacho costo $0|contacto: katherine gallegos astorga.|+569 40271097 27 disco duro nas western digital 4tb 3,5"", ver adjunto 23 mesa redonda de reunion de 1.2 metros de diametro, altura de 80 cm una base central, material: madera, melamina o similar 25 mesas segun terminos de referencia que se adjuntan. 76 pizarra de corcho |ancho: 60 cm|alto: 80 cm 24 proyector number part v11ha03020. o equivalente||contacto sr. maximiliano lopez 228101750| 12 gabinetes metalicos para extintores  6 kilos con puerta de malla, instalacion incluida",21
77.528.437-4,"56 entrega 1 dia  54 segun detalle en descripcion 54 segun descripcion  11 discos ssd internos:|? capacidad: 240 gb o superior|? tamano: 2,5"" 54 adquisicion de smat tv con bluetooth, 50"", led, 4k utra hd, puertos usb, puertos hdmi, wifi, garantia 2 ano minimo **debe incluir incluir antena convencional para tv abierta** 54 entrega 1 dia  11 escaner iriscan desk pro 5 formato a3 o equivalente con las siguientes caracteristicas:|? tamano de documento: a3|? deteccion de pagina y de paso de pagina|? calidad de imagen: 300 ppp|? velocidad de escaneo: 3 segundos por pagina (maximo).|? conexion: usb|? formato de salida: pdf 11 entrega 1 dia, garantia 12 meses.  11 * monitor lg 22mn430h led o equivalente:|? tamano pantalla: led 21.5"" o superior|? conexiones: hdmi y vga|? resolucion: 1920x1080p full hd|? frecuencia de actualizacion: 75 hz o superior|? antirreflejo: si|? brillo: 250 cd/m2|? tipo panel: ips 12 monitor lg 22mn430h led o equivalente:|? tamano pantalla: led 21.5"" o superior|? conexiones: hdmi y vga|? resolucion: 1920x1080p full hd|? frecuencia de actualizacion: 75 hz o superior|? antirreflejo: si|? brillo: 250 cd/m2|? tipo panel: ips",6
77.627.519-0,"39 barras de cereal 39 tarros de cafe 15 semola formato de 1 kilo 36 jugos cajita de 190 ml con bombilla sabores surtidos marca livian  o vivo  10 se adjuntan productos solicitados, segun especificaciones enviadas, disponibles para entregar para dia y hora senalada 41 *	mini brownie chip|*	62 gramos| 41 *	mini brownie chocolate|*	62 gramos | 88 ver anexo 39 galletas variedades 15 galleta de soda 180 gr",9
76.095.459-4,"45 ensure advance chocolate o equivalente nutricional, polvo en tarro de 850 g 24 ensure sabor frutilla y vainilla 850 grs  10 formula de inicio rth nan opti pro 1. 43 ensure de 850 gr. sabor vainilla 45 ensure frutilla o equivalente nutricional, polvo en tarro de 850 g 45 glucerna o equivalente nutricional , polvo en tarro de 850 g| 33 suplemento nutricional estimul. repar. tisular polvo - abintra (27 gr) 45 ensure chocolate o equivalente nutricional, polvo en tarro de 850 g 10 504-0452	gelatein| 23 tarro pediasure 900grs sabor frutilla",16
